"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","271","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Sun Apr 12 09:22:23 UTC 2026","passed","Sun Apr 12 09:22:24 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","201","Deve validar a estrutura do JSON retornado para a lista de raças","","Sun Apr 12 09:22:23 UTC 2026","passed","Sun Apr 12 09:22:23 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","228","Deve retornar imagens para raça com sub-raça válida","","Sun Apr 12 09:22:22 UTC 2026","passed","Sun Apr 12 09:22:22 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","282","Deve retornar imagens para raça válida","","Sun Apr 12 09:22:22 UTC 2026","passed","Sun Apr 12 09:22:23 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","159","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Sun Apr 12 09:22:23 UTC 2026","passed","Sun Apr 12 09:22:23 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","2848","Deve retornar erro 404 para raça inexistente","","Sun Apr 12 09:22:19 UTC 2026","passed","Sun Apr 12 09:22:22 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","219","Deve retornar erro 404 para raça com sub-raça inexistente","","Sun Apr 12 09:22:22 UTC 2026","passed","Sun Apr 12 09:22:22 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","247","Deve retornar uma imagem aleatória válida","","Sun Apr 12 09:22:23 UTC 2026","passed","Sun Apr 12 09:22:23 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","161","Deve listar todas as raças disponíveis","","Sun Apr 12 09:22:23 UTC 2026","passed","Sun Apr 12 09:22:23 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
