"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","397","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Fri May 08 09:40:33 UTC 2026","passed","Fri May 08 09:40:33 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","190","Deve listar todas as raças disponíveis","","Fri May 08 09:40:32 UTC 2026","passed","Fri May 08 09:40:33 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","166","Deve retornar uma imagem aleatória válida","","Fri May 08 09:40:33 UTC 2026","passed","Fri May 08 09:40:33 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","3289","Deve retornar erro 404 para raça inexistente","","Fri May 08 09:40:28 UTC 2026","passed","Fri May 08 09:40:31 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","209","Deve retornar imagens para raça com sub-raça válida","","Fri May 08 09:40:31 UTC 2026","passed","Fri May 08 09:40:31 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","258","Deve retornar imagens para raça válida","","Fri May 08 09:40:32 UTC 2026","passed","Fri May 08 09:40:32 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","276","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Fri May 08 09:40:33 UTC 2026","passed","Fri May 08 09:40:33 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","313","Deve retornar erro 404 para raça com sub-raça inexistente","","Fri May 08 09:40:31 UTC 2026","passed","Fri May 08 09:40:32 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","304","Deve validar a estrutura do JSON retornado para a lista de raças","","Fri May 08 09:40:32 UTC 2026","passed","Fri May 08 09:40:32 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
