"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","204","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Wed Mar 18 09:24:58 UTC 2026","passed","Wed Mar 18 09:24:58 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","167","Deve listar todas as raças disponíveis","","Wed Mar 18 09:24:58 UTC 2026","passed","Wed Mar 18 09:24:58 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","427","Deve retornar imagens para raça válida","","Wed Mar 18 09:24:57 UTC 2026","passed","Wed Mar 18 09:24:57 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","3261","Deve retornar erro 404 para raça inexistente","","Wed Mar 18 09:24:53 UTC 2026","passed","Wed Mar 18 09:24:56 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","285","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Wed Mar 18 09:24:58 UTC 2026","passed","Wed Mar 18 09:24:59 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","202","Deve validar a estrutura do JSON retornado para a lista de raças","","Wed Mar 18 09:24:57 UTC 2026","passed","Wed Mar 18 09:24:58 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","177","Deve retornar uma imagem aleatória válida","","Wed Mar 18 09:24:58 UTC 2026","passed","Wed Mar 18 09:24:58 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","199","Deve retornar imagens para raça com sub-raça válida","","Wed Mar 18 09:24:57 UTC 2026","passed","Wed Mar 18 09:24:57 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","229","Deve retornar erro 404 para raça com sub-raça inexistente","","Wed Mar 18 09:24:57 UTC 2026","passed","Wed Mar 18 09:24:57 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
