"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","353","Deve retornar imagens para raça válida","","Sun May 17 09:39:19 UTC 2026","passed","Sun May 17 09:39:19 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","255","Deve retornar erro 404 para raça com sub-raça inexistente","","Sun May 17 09:39:19 UTC 2026","passed","Sun May 17 09:39:19 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","254","Deve validar a estrutura do JSON retornado para a lista de raças","","Sun May 17 09:39:19 UTC 2026","passed","Sun May 17 09:39:20 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","235","Deve listar todas as raças disponíveis","","Sun May 17 09:39:20 UTC 2026","passed","Sun May 17 09:39:20 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","3000","Deve retornar erro 404 para raça inexistente","","Sun May 17 09:39:15 UTC 2026","passed","Sun May 17 09:39:18 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","226","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Sun May 17 09:39:20 UTC 2026","passed","Sun May 17 09:39:20 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","236","Deve retornar imagens para raça com sub-raça válida","","Sun May 17 09:39:18 UTC 2026","passed","Sun May 17 09:39:19 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","385","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Sun May 17 09:39:20 UTC 2026","passed","Sun May 17 09:39:21 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","207","Deve retornar uma imagem aleatória válida","","Sun May 17 09:39:20 UTC 2026","passed","Sun May 17 09:39:20 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
