"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","334","Deve retornar imagens para raça válida","","Wed May 20 10:12:30 UTC 2026","passed","Wed May 20 10:12:31 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","218","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Wed May 20 10:12:32 UTC 2026","passed","Wed May 20 10:12:32 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","383","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Wed May 20 10:12:32 UTC 2026","passed","Wed May 20 10:12:32 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","268","Deve retornar imagens para raça com sub-raça válida","","Wed May 20 10:12:30 UTC 2026","passed","Wed May 20 10:12:30 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","269","Deve listar todas as raças disponíveis","","Wed May 20 10:12:31 UTC 2026","passed","Wed May 20 10:12:31 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","282","Deve validar a estrutura do JSON retornado para a lista de raças","","Wed May 20 10:12:31 UTC 2026","passed","Wed May 20 10:12:31 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","3142","Deve retornar erro 404 para raça inexistente","","Wed May 20 10:12:27 UTC 2026","passed","Wed May 20 10:12:30 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","239","Deve retornar uma imagem aleatória válida","","Wed May 20 10:12:31 UTC 2026","passed","Wed May 20 10:12:32 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","265","Deve retornar erro 404 para raça com sub-raça inexistente","","Wed May 20 10:12:30 UTC 2026","passed","Wed May 20 10:12:30 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
