"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","518","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Thu May 21 10:20:31 UTC 2026","passed","Thu May 21 10:20:31 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","248","Deve retornar erro 404 para raça com sub-raça inexistente","","Thu May 21 10:20:29 UTC 2026","passed","Thu May 21 10:20:30 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","210","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Thu May 21 10:20:31 UTC 2026","passed","Thu May 21 10:20:31 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","2342","Deve retornar erro 404 para raça inexistente","","Thu May 21 10:20:27 UTC 2026","passed","Thu May 21 10:20:29 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","243","Deve listar todas as raças disponíveis","","Thu May 21 10:20:30 UTC 2026","passed","Thu May 21 10:20:30 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","227","Deve retornar imagens para raça com sub-raça válida","","Thu May 21 10:20:29 UTC 2026","passed","Thu May 21 10:20:29 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","242","Deve validar a estrutura do JSON retornado para a lista de raças","","Thu May 21 10:20:30 UTC 2026","passed","Thu May 21 10:20:30 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","302","Deve retornar imagens para raça válida","","Thu May 21 10:20:30 UTC 2026","passed","Thu May 21 10:20:30 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","198","Deve retornar uma imagem aleatória válida","","Thu May 21 10:20:30 UTC 2026","passed","Thu May 21 10:20:31 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
