"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","235","Deve retornar imagens para raça com sub-raça válida","","Mon May 04 09:54:02 UTC 2026","passed","Mon May 04 09:54:02 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","226","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Mon May 04 09:54:03 UTC 2026","passed","Mon May 04 09:54:04 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","481","Deve retornar imagens para raça válida","","Mon May 04 09:54:02 UTC 2026","passed","Mon May 04 09:54:02 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","399","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Mon May 04 09:54:04 UTC 2026","passed","Mon May 04 09:54:04 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","387","Deve validar a estrutura do JSON retornado para a lista de raças","","Mon May 04 09:54:03 UTC 2026","passed","Mon May 04 09:54:03 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","263","Deve retornar erro 404 para raça com sub-raça inexistente","","Mon May 04 09:54:02 UTC 2026","passed","Mon May 04 09:54:02 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","3111","Deve retornar erro 404 para raça inexistente","","Mon May 04 09:53:58 UTC 2026","passed","Mon May 04 09:54:01 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","228","Deve retornar uma imagem aleatória válida","","Mon May 04 09:54:03 UTC 2026","passed","Mon May 04 09:54:03 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","231","Deve listar todas as raças disponíveis","","Mon May 04 09:54:03 UTC 2026","passed","Mon May 04 09:54:03 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
