"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","2306","Deve retornar erro 404 para raça com sub-raça inexistente","","2026-07-19","passed","2026-07-19","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","1292","Deve retornar uma imagem aleatória válida","","2026-07-19","passed","2026-07-19","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","337","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","2026-07-19","passed","2026-07-19","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","3035","Deve retornar erro 404 para raça inexistente","","2026-07-19","passed","2026-07-19","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","156","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","2026-07-19","passed","2026-07-19","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","1270","Deve validar a estrutura do JSON retornado para a lista de raças","","2026-07-19","passed","2026-07-19","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","327","Deve retornar imagens para raça válida","","2026-07-19","passed","2026-07-19","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","5359","Deve listar todas as raças disponíveis","","2026-07-19","broken","2026-07-19","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","189","Deve retornar imagens para raça com sub-raça válida","","2026-07-19","passed","2026-07-19","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
