"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","244","Deve validar a estrutura do JSON retornado para a lista de raças","","Fri Mar 27 09:23:54 UTC 2026","passed","Fri Mar 27 09:23:54 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","2827","Deve retornar erro 404 para raça inexistente","","Fri Mar 27 09:23:51 UTC 2026","passed","Fri Mar 27 09:23:53 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","156","Deve retornar uma imagem aleatória válida","","Fri Mar 27 09:23:55 UTC 2026","passed","Fri Mar 27 09:23:55 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","202","Deve retornar erro 404 para raça com sub-raça inexistente","","Fri Mar 27 09:23:54 UTC 2026","passed","Fri Mar 27 09:23:54 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","206","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Fri Mar 27 09:23:55 UTC 2026","passed","Fri Mar 27 09:23:55 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","288","Deve retornar imagens para raça válida","","Fri Mar 27 09:23:54 UTC 2026","passed","Fri Mar 27 09:23:54 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","200","Deve retornar imagens para raça com sub-raça válida","","Fri Mar 27 09:23:53 UTC 2026","passed","Fri Mar 27 09:23:54 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","181","Deve listar todas as raças disponíveis","","Fri Mar 27 09:23:54 UTC 2026","passed","Fri Mar 27 09:23:55 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","281","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Fri Mar 27 09:23:55 UTC 2026","passed","Fri Mar 27 09:23:55 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
