"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","214","Deve retornar uma imagem aleatória válida","","Sun Apr 19 09:21:55 UTC 2026","passed","Sun Apr 19 09:21:55 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","273","Deve retornar imagens para raça com sub-raça válida","","Sun Apr 19 09:21:54 UTC 2026","passed","Sun Apr 19 09:21:54 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","348","Deve retornar imagens para raça válida","","Sun Apr 19 09:21:54 UTC 2026","passed","Sun Apr 19 09:21:55 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","3172","Deve retornar erro 404 para raça inexistente","","Sun Apr 19 09:21:50 UTC 2026","passed","Sun Apr 19 09:21:54 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","425","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Sun Apr 19 09:21:56 UTC 2026","passed","Sun Apr 19 09:21:56 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","361","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Sun Apr 19 09:21:55 UTC 2026","passed","Sun Apr 19 09:21:56 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","278","Deve retornar erro 404 para raça com sub-raça inexistente","","Sun Apr 19 09:21:54 UTC 2026","passed","Sun Apr 19 09:21:54 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","303","Deve validar a estrutura do JSON retornado para a lista de raças","","Sun Apr 19 09:21:55 UTC 2026","passed","Sun Apr 19 09:21:55 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","271","Deve listar todas as raças disponíveis","","Sun Apr 19 09:21:55 UTC 2026","passed","Sun Apr 19 09:21:55 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
