"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","393","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Wed May 27 10:28:53 UTC 2026","passed","Wed May 27 10:28:54 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","210","Deve retornar imagens para raça com sub-raça válida","","Wed May 27 10:28:52 UTC 2026","passed","Wed May 27 10:28:52 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","310","Deve retornar erro 404 para raça com sub-raça inexistente","","Wed May 27 10:28:52 UTC 2026","passed","Wed May 27 10:28:52 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","172","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Wed May 27 10:28:53 UTC 2026","passed","Wed May 27 10:28:53 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","3126","Deve retornar erro 404 para raça inexistente","","Wed May 27 10:28:48 UTC 2026","passed","Wed May 27 10:28:51 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","393","Deve retornar imagens para raça válida","","Wed May 27 10:28:52 UTC 2026","passed","Wed May 27 10:28:52 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","211","Deve listar todas as raças disponíveis","","Wed May 27 10:28:53 UTC 2026","passed","Wed May 27 10:28:53 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","180","Deve retornar uma imagem aleatória válida","","Wed May 27 10:28:53 UTC 2026","passed","Wed May 27 10:28:53 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","295","Deve validar a estrutura do JSON retornado para a lista de raças","","Wed May 27 10:28:52 UTC 2026","passed","Wed May 27 10:28:53 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
