"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","1193","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Fri Apr 03 09:25:27 UTC 2026","passed","Fri Apr 03 09:25:29 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","219","Deve validar a estrutura do JSON retornado para a lista de raças","","Fri Apr 03 09:25:26 UTC 2026","passed","Fri Apr 03 09:25:26 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","1278","Deve retornar uma imagem aleatória válida","","Fri Apr 03 09:25:26 UTC 2026","passed","Fri Apr 03 09:25:27 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","4044","Deve retornar erro 404 para raça inexistente","","Fri Apr 03 09:25:19 UTC 2026","passed","Fri Apr 03 09:25:23 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","1226","Deve retornar imagens para raça com sub-raça válida","","Fri Apr 03 09:25:23 UTC 2026","passed","Fri Apr 03 09:25:24 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","264","Deve retornar imagens para raça válida","","Fri Apr 03 09:25:25 UTC 2026","passed","Fri Apr 03 09:25:26 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","1438","Deve retornar erro 404 para raça com sub-raça inexistente","","Fri Apr 03 09:25:24 UTC 2026","passed","Fri Apr 03 09:25:25 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","303","Deve listar todas as raças disponíveis","","Fri Apr 03 09:25:26 UTC 2026","passed","Fri Apr 03 09:25:26 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","2300","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Fri Apr 03 09:25:29 UTC 2026","passed","Fri Apr 03 09:25:31 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
