"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","276","Deve validar a estrutura do JSON retornado para a lista de raças","","Sat May 16 09:37:12 UTC 2026","passed","Sat May 16 09:37:12 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","216","Deve retornar uma imagem aleatória válida","","Sat May 16 09:37:13 UTC 2026","passed","Sat May 16 09:37:13 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","282","Deve retornar imagens para raça com sub-raça válida","","Sat May 16 09:37:11 UTC 2026","passed","Sat May 16 09:37:11 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","237","Deve listar todas as raças disponíveis","","Sat May 16 09:37:12 UTC 2026","passed","Sat May 16 09:37:13 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","419","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Sat May 16 09:37:13 UTC 2026","passed","Sat May 16 09:37:13 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","233","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Sat May 16 09:37:13 UTC 2026","passed","Sat May 16 09:37:13 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","2803","Deve retornar erro 404 para raça inexistente","","Sat May 16 09:37:08 UTC 2026","passed","Sat May 16 09:37:11 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","444","Deve retornar imagens para raça válida","","Sat May 16 09:37:12 UTC 2026","passed","Sat May 16 09:37:12 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","281","Deve retornar erro 404 para raça com sub-raça inexistente","","Sat May 16 09:37:11 UTC 2026","passed","Sat May 16 09:37:12 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
