"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","205","Deve validar a estrutura do JSON retornado para a lista de raças","","Tue May 05 09:44:03 UTC 2026","passed","Tue May 05 09:44:03 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","2972","Deve retornar erro 404 para raça inexistente","","Tue May 05 09:43:59 UTC 2026","passed","Tue May 05 09:44:02 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","297","Deve retornar imagens para raça com sub-raça válida","","Tue May 05 09:44:02 UTC 2026","passed","Tue May 05 09:44:02 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","289","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Tue May 05 09:44:04 UTC 2026","passed","Tue May 05 09:44:04 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","161","Deve listar todas as raças disponíveis","","Tue May 05 09:44:03 UTC 2026","passed","Tue May 05 09:44:03 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","372","Deve retornar imagens para raça válida","","Tue May 05 09:44:03 UTC 2026","passed","Tue May 05 09:44:03 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","214","Deve retornar erro 404 para raça com sub-raça inexistente","","Tue May 05 09:44:02 UTC 2026","passed","Tue May 05 09:44:03 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","259","Deve retornar uma imagem aleatória válida","","Tue May 05 09:44:03 UTC 2026","passed","Tue May 05 09:44:04 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","165","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Tue May 05 09:44:04 UTC 2026","passed","Tue May 05 09:44:04 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
