"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","308","Deve retornar imagens para raça válida","","Fri Apr 17 09:38:26 UTC 2026","passed","Fri Apr 17 09:38:26 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","298","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Fri Apr 17 09:38:27 UTC 2026","passed","Fri Apr 17 09:38:27 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","3319","Deve retornar erro 404 para raça inexistente","","Fri Apr 17 09:38:22 UTC 2026","passed","Fri Apr 17 09:38:25 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","248","Deve retornar erro 404 para raça com sub-raça inexistente","","Fri Apr 17 09:38:25 UTC 2026","passed","Fri Apr 17 09:38:26 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","190","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Fri Apr 17 09:38:27 UTC 2026","passed","Fri Apr 17 09:38:27 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","178","Deve retornar uma imagem aleatória válida","","Fri Apr 17 09:38:26 UTC 2026","passed","Fri Apr 17 09:38:27 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","209","Deve retornar imagens para raça com sub-raça válida","","Fri Apr 17 09:38:25 UTC 2026","passed","Fri Apr 17 09:38:25 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","224","Deve validar a estrutura do JSON retornado para a lista de raças","","Fri Apr 17 09:38:26 UTC 2026","passed","Fri Apr 17 09:38:26 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","256","Deve listar todas as raças disponíveis","","Fri Apr 17 09:38:26 UTC 2026","passed","Fri Apr 17 09:38:26 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
