"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","269","Deve retornar imagens para raça com sub-raça válida","","Sat May 23 09:40:01 UTC 2026","passed","Sat May 23 09:40:02 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","257","Deve listar todas as raças disponíveis","","Sat May 23 09:40:03 UTC 2026","passed","Sat May 23 09:40:03 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","314","Deve validar a estrutura do JSON retornado para a lista de raças","","Sat May 23 09:40:02 UTC 2026","passed","Sat May 23 09:40:03 UTC 2026","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","241","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","Sat May 23 09:40:03 UTC 2026","passed","Sat May 23 09:40:03 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","220","Deve retornar uma imagem aleatória válida","","Sat May 23 09:40:03 UTC 2026","passed","Sat May 23 09:40:03 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","2969","Deve retornar erro 404 para raça inexistente","","Sat May 23 09:39:58 UTC 2026","passed","Sat May 23 09:40:01 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","382","Deve retornar imagens para raça válida","","Sat May 23 09:40:02 UTC 2026","passed","Sat May 23 09:40:02 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","419","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","Sat May 23 09:40:03 UTC 2026","passed","Sat May 23 09:40:04 UTC 2026","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","273","Deve retornar erro 404 para raça com sub-raça inexistente","","Sat May 23 09:40:02 UTC 2026","passed","Sat May 23 09:40:02 UTC 2026","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
