"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça válida","399","Deve retornar imagens para raça válida","","2026-08-05","passed","2026-08-05","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"Valida que a estrutura do JSON retornado pelo endpoint de listar raças segue o formato esperado","227","Deve validar a estrutura do JSON retornado para a lista de raças","","2026-08-05","passed","2026-08-05","","tests.BreedsListTest","tests.BreedsListTest","validarEstruturaDoJson_service"
"Valida que o endpoint retorna uma lista de raças com a estrutura correta e dados esperados","172","Deve listar todas as raças disponíveis","","2026-08-05","passed","2026-08-05","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"Valida que o endpoint de imagem aleatória retorna uma resposta válida mesmo quando parâmetros extras são fornecidos","171","Deve retornar uma imagem aleatória mesmo quando parâmetros extras são fornecidos, ignorando-os corretamente","","2026-08-05","passed","2026-08-05","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"Valida que o endpoint de imagem aleatória retorna imagens diferentes em chamadas consecutivas, confirmando a aleatoriedade do serviço","276","Deve retornar imagens diferentes em chamadas consecutivas para validar aleatoriedade","","2026-08-05","passed","2026-08-05","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
"Valida que o endpoint retorna um erro apropriado quando uma sub-raça inexistente","189","Deve retornar erro 404 para raça com sub-raça inexistente","","2026-08-05","passed","2026-08-05","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"Valida que o endpoint de imagem aleatória retorna uma resposta com status 'success' e uma URL de imagem válida","142","Deve retornar uma imagem aleatória válida","","2026-08-05","passed","2026-08-05","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"Valida que o endpoint retorna uma lista de URLs de imagens para uma raça com sub-raça válida","175","Deve retornar imagens para raça com sub-raça válida","","2026-08-05","passed","2026-08-05","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"Valida que o endpoint retorna um erro apropriado quando uma raça inexistente é solicitada","2866","Deve retornar erro 404 para raça inexistente","","2026-08-05","passed","2026-08-05","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
